id,company_name
1,Acme Corporation
2,ACME Corp.
3,Acme Co.
4,"Acme, Inc."
5,Acme Incorporated
6,Globex Corporation
7,Globex Corp
8,"Globex, Inc."
9,Globex Co.
10,Globex Corporatoin
11,Initech
12,"Initech, Inc."
13,Initech LLC
14,IniTech
15,Initec
16,Umbrella Corporation
17,Umbrella Corp.
18,Umbrella Co.
19,"Umbrella, Inc."
20,Umbrella Corporation LLC
21,Wayne Enterprises
22,Wayne Ent.
23,"Wayne Enterprises, Inc."
24,Wayne Enterprises LLC
25,Wayne Enterprizes
26,Stark Industries
27,Stark Ind.
28,"Stark Industries, Inc."
29,Stark Industries LLC
30,Stark Inds
31,Pied Piper
32,Pied Piper LLC
33,"Pied Piper, Inc."
34,Pied-Piper
35,PiedPiper
36,Aperture Science
37,Aperture Sci.
38,"Aperture Science, Inc."
39,Aperture Science LLC
40,Aperture Sciense
